Bernd Leno,Goalkeeper,41,Bernd Leno - Arsenal,126
Matthew Macey,Goalkeeper,41,Matthew Macey - Arsenal,126
Emiliano Martinez,Goalkeeper,41,Emiliano Martinez - Arsenal,126
Hector Bellerin,Defender,41,Hector Bellerin - Arsenal,126
Calum Chambers,Defender,41,Calum Chambers - Arsenal,126
Rob Holding,Defender,41,Rob Holding - Arsenal,126
Sead Kolasinac,Defender,41,Sead Kolasinac - Arsenal,126
David Luiz,Defender,41,David Luiz - Arsenal,126
Pablo Mari,Defender,41,Pablo Mari - Arsenal,126
Konstantinos Mavropanos,Defender,41,Konstantinos Mavropanos - Arsenal,126
Nacho Monreal,Defender,41,Nacho Monreal - Arsenal,126
Shkodran Mustafi,Defender,41,Shkodran Mustafi - Arsenal,126
Jordi Osei-Tutu,Defender,41,Jordi Osei-Tutu - Arsenal,126
William Saliba,Defender,41,William Saliba - Arsenal,126
Cedric Soares,Defender,41,Cedric Soares - Arsenal,126
Papa(stathopoulos) Sokratis,Defender,41,Papa(stathopoulos) Sokratis - Arsenal,126
Kieran Tierney,Defender,41,Kieran Tierney - Arsenal,126
Daniel Ceballos,Midfielder,41,Daniel Ceballos - Arsenal,126
Mohamed Elneny,Midfielder,41,Mohamed Elneny - Arsenal,126
Matteo Guendouzi,Midfielder,41,Matteo Guendouzi - Arsenal,126
Ainsley Maitland-Niles,Midfielder,41,Ainsley Maitland-Niles - Arsenal,126
Gabriel Martinelli Silva,Midfielder,41,Gabriel Martinelli Silva - Arsenal,126
Henrikh Mkhitaryan,Midfielder,41,Henrikh Mkhitaryan - Arsenal,126
Reiss Nelson,Midfielder,41,Reiss Nelson - Arsenal,126
Kelechi Nwakali,Midfielder,41,Kelechi Nwakali - Arsenal,126
Mesut Ozil,Midfielder,41,Mesut Ozil - Arsenal,126
Bukayo Saka,Midfielder,41,Bukayo Saka - Arsenal,126
Denis Suarez,Midfielder,41,Denis Suarez - Arsenal,126
Lucas Torreira,Midfielder,41,Lucas Torreira - Arsenal,126
Joseph Willock,Midfielder,41,Joseph Willock - Arsenal,126
Granit Xhaka,Midfielder,41,Granit Xhaka - Arsenal,126
Takuma Asano,Striker,41,Takuma Asano - Arsenal,126
Pierre-Emerick Aubameyang,Striker,41,Pierre-Emerick Aubameyang - Arsenal,126
Alexandre Lacazette,Striker,41,Alexandre Lacazette - Arsenal,126
Edward Nketiah,Striker,41,Edward Nketiah - Arsenal,126
Nicolas Pepe,Striker,41,Nicolas Pepe - Arsenal,126
Emile Smith-Rowe,Striker,41,Emile Smith-Rowe - Arsenal,126
Tom Heaton,Goalkeeper,42,Tom Heaton - Aston Villa,126
Lovre Kalinic,Goalkeeper,42,Lovre Kalinic - Aston Villa,126
Orjan Nyland,Goalkeeper,42,Orjan Nyland - Aston Villa,126
Pepe Reina,Goalkeeper,42,Pepe Reina - Aston Villa,126
Jed Steer,Goalkeeper,42,Jed Steer - Aston Villa,126
Ahmed El Mohamady,Defender,42,Ahmed El Mohamady - Aston Villa,126
Bjorn Engels,Defender,42,Bjorn Engels - Aston Villa,126
Frederic Guilbert,Defender,42,Frederic Guilbert - Aston Villa,126
Kortney Hause,Defender,42,Kortney Hause - Aston Villa,126
Ezri Konza,Defender,42,Ezri Konza - Aston Villa,126
Tyrone Mings,Defender,42,Tyrone Mings - Aston Villa,126
Matt Targett,Defender,42,Matt Targett - Aston Villa,126
Neil Taylor,Defender,42,Neil Taylor - Aston Villa,126
Tom Carroll,Midfielder,42,Tom Carroll - Aston Villa,126
Keinan Davis,Midfielder,42,Keinan Davis - Aston Villa,126
Anwar El Ghazi,Midfielder,42,Anwar El Ghazi - Aston Villa,126
Jack Grealish,Midfielder,42,Jack Grealish - Aston Villa,126
Andre Green,Midfielder,42,Andre Green - Aston Villa,126
Conor Hourihane,Midfielder,42,Conor Hourihane - Aston Villa,126
Henri Lansbury,Midfielder,42,Henri Lansbury - Aston Villa,126
Douglas Luiz (Soares de Pauo),Midfielder,42,Douglas Luiz (Soares de Pauo) - Aston Villa,126
John McGinn,Midfielder,42,John McGinn - Aston Villa,126
Marvelous Nakamba,Midfielder,42,Marvelous Nakamba - Aston Villa,126
Jota (Peleteiro),Midfielder,42,Jota (Peleteiro) - Aston Villa,126
Jacob Ramsey,Midfielder,42,Jacob Ramsey - Aston Villa,126
Trezeguet,Midfielder,42,Trezeguet - Aston Villa,126
Wesley Moraes,Striker,42,Wesley Moraes - Aston Villa,126
Mbwana Samatta,Striker,42,Mbwana Samatta - Aston Villa,126
David Button,Goalkeeper,43,David Button - Brighton,126
Mathew Ryan,Goalkeeper,43,Mathew Ryan - Brighton,126
Jason Steele,Goalkeeper,43,Jason Steele - Brighton,126
Bernardo,Defender,43,Bernardo - Brighton,126
Dan Burn,Defender,43,Dan Burn - Brighton,126
Matt Clarke,Defender,43,Matt Clarke - Brighton,126
Shane Duffy,Defender,43,Shane Duffy - Brighton,126
Lewis Dunk,Defender,43,Lewis Dunk - Brighton,126
