1,AFC Bournemouth
2,Arsenal
3,Brighton and Hove Albion
4,Burnley
5,Cardiff City
6,Chelsea
7,Crystal Palace
8,Everton
9,Fulham
10,Huddersfield Town
11,Leicester City
12,Liverpool
13,Manchester City
14,Manchester United
15,Newcastle United
16,Southampton
17,Tottenham Hotspur
18,Watford
19,West Ham United
20,Wolverhampton Wanderers
21,AFC Bournemouth
22,Arsenal
23,Brighton and Hove Albion
24,Burnley
25,Cardiff City
26,Chelsea
27,Crystal Palace
28,Everton
29,Fulham
30,Huddersfield Town
31,Leicester City
32,Liverpool
33,Manchester City
34,Manchester United
35,Newcastle United
36,Southampton
37,Tottenham Hotspur
38,Watford
39,West Ham United
40,Wolverhampton Wanderers
